"Continent","Region","Country","Country_Code","CRIMINALITY","Human_trafficking","Victim_support"
"Asia","South-Eastern Asia","Laos","LAO","5.51","6.5","4.0"
"Europe","Northern Europe","Latvia","LVA","3.51","4.5","7.5"
"Asia","Western Asia","Lebanon","LBN","6.76","8.5","5.0"
"Africa","Southern Africa","Lesotho","LSO","3.90","4.0","2.5"
"Africa","West Africa","Liberia","LBR","5.05","6.0","1.0"
"Africa","North Africa","Libya","LBY","6.55","9.5","1.0"
"Europe","Western Europe","Liechtenstein","LIE","1.88","2.0","9.5"
"Europe","Northern Europe","Lithuania","LTU","3.31","3.5","7.0"
"Europe","Western Europe","Luxembourg","LUX","2.36","3.5","7.0"
"Africa","Southern Africa","Madagascar","MDG","5.59","6.0","2.0"
"Africa","Southern Africa","Malawi","MWI","3.83","4.5","2.0"
"Asia","South-Eastern Asia","Malaysia","MYS","5.94","6.5","6.0"
"Asia","Southern Asia","Maldives","MDV","4.06","6.0","2.0"
"Africa","West Africa","Mali","MLI","5.89","7.0","1.5"
"Europe","Southern Europe","Malta","MLT","4.65","5.0","7.5"
"Oceania","Micronesia","Marshall Islands","MHL","2.31","4.5","3.5"
"Africa","North Africa","Mauritania","MRT","4.38","7.5","1.5"
"Africa","Southern Africa","Mauritius","MUS","4.51","4.5","5.5"
"Americas","Central America","Mexico","MEX","7.56","7.5","3.5"
"Oceania","Micronesia","Micronesia (Federated States of)","FSM","3.30","5.0","4.5"
"Europe","Central & Eastern Europe","Moldova","MDA","4.45","7.5","5.0"
"Europe","Southern Europe","Monaco","MCO","2.43","1.5","8.0"
"Asia","Eastern Asia","Mongolia","MNG","4.01","4.5","4.0"
"Europe","Central & Eastern Europe","Montenegro","MNE","6.00","4.5","4.0"
"Africa","North Africa","Morocco","MAR","4.79","5.5","4.5"
"Africa","Southern Africa","Mozambique","MOZ","6.53","4.0","3.0"
"Asia","South-Eastern Asia","Myanmar","MMR","7.59","6.5","2.0"
"Africa","Southern Africa","Namibia","NAM","4.33","3.5","4.0"
"Oceania","Micronesia","Nauru","NRU","1.76","1.5","2.0"
"Asia","Southern Asia","Nepal","NPL","6.16","7.0","4.5"
"Europe","Western Europe","Netherlands","NLD","4.69","5.5","8.0"
"Oceania","Australia and New Zealand","New Zealand","NZL","3.25","3.5","8.5"
"Americas","Central America","Nicaragua","NIC","6.06","6.0","2.0"
"Africa","West Africa","Niger","NER","6.01","7.0","2.0"
"Africa","West Africa","Nigeria","NGA","7.15","7.5","5.0"
